Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,LV,Max Variables,accuracy,recall,precision,f1,cutoff,nLV
52,44,0.1,7,528.000 - 531.000 - 667.000 - 961.000 - 999.000 - 1092.000 - 2373.000,3.0,7.0,0.625,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.5,3.0
52,45,0.1,7,530.000 - 948.000 - 1274.000 - 1653.000 - 1672.000 - 1862.000 - 2082.000,3.0,7.0,0.7,0.631578947368421,0.7058823529411765,0.6666666666666666,0.5,3.0
52,46,0.1,7,425.000 - 434.000 - 778.000 - 954.000 - 1090.000 - 1864.000 - 1867.000,3.0,7.0,0.7,0.631578947368421,0.7058823529411765,0.6666666666666666,0.5,3.0
52,47,0.1,7,410.000 - 1025.000 - 1220.000 - 1359.000 - 1457.000 - 2266.000 - 2368.000,3.0,7.0,0.625,0.631578947368421,0.6,0.6153846153846154,0.5,3.0
52,48,0.1,7,539.000 - 665.000 - 966.000 - 1345.000 - 1423.000 - 1459.000 - 1863.000,4.0,7.0,0.575,0.47368421052631576,0.5625,0.5142857142857142,0.5,4.0
52,49,0.1,7,429.000 - 527.000 - 654.000 - 783.000 - 1853.000 - 2210.000 - 2265.000,5.0,7.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,5.0
52,50,0.1,7,402.000 - 412.000 - 954.000 - 998.000 - 1643.000 - 1962.000 - 2250.000,5.0,7.0,0.5,0.3684210526315789,0.4666666666666667,0.4117647058823529,0.5,5.0
52,51,0.1,7,1230.000 - 1415.000 - 1420.000 - 1459.000 - 1614.000 - 1670.000 - 2083.000,6.0,7.0,0.6,0.3684210526315789,0.6363636363636364,0.4666666666666667,0.5,6.0
52,52,0.1,7,966.000 - 997.000 - 1013.000 - 1187.000 - 1599.000 - 1650.000 - 1879.000,3.0,7.0,0.625,0.5263157894736842,0.625,0.5714285714285714,0.5,3.0
52,53,0.1,7,535.000 - 669.000 - 947.000 - 1270.000 - 1644.000 - 1889.000 - 1963.000,2.0,7.0,0.7,0.5789473684210527,0.7333333333333333,0.6470588235294118,0.5,2.0
52,54,0.1,7,405.000 - 406.000 - 434.000 - 668.000 - 786.000 - 1600.000 - 1608.000,3.0,7.0,0.525,0.42105263157894735,0.5,0.45714285714285713,0.5,3.0
52,55,0.1,7,1027.000 - 1223.000 - 1958.000 - 1972.000 - 2256.000 - 2360.000 - 2445.000,5.0,7.0,0.625,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.5,5.0
52,56,0.1,7,406.000 - 537.000 - 654.000 - 658.000 - 1196.000 - 1364.000 - 1668.000,4.0,7.0,0.65,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.5,4.0
52,57,0.1,7,1345.000 - 1455.000 - 1670.000 - 1965.000 - 2254.000 - 2265.000 - 2449.000,3.0,7.0,0.6,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5,3.0
52,58,0.1,7,1023.000 - 1348.000 - 1416.000 - 1605.000 - 1867.000 - 2438.000 - 2447.000,2.0,7.0,0.625,0.5263157894736842,0.625,0.5714285714285714,0.5,2.0
52,59,0.1,7,948.000 - 1022.000 - 1616.000 - 1652.000 - 2207.000 - 2219.000 - 2438.000,3.0,7.0,0.6,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.5,3.0
52,60,0.1,7,414.000 - 431.000 - 663.000 - 960.000 - 962.000 - 1085.000 - 1886.000,3.0,7.0,0.7,0.631578947368421,0.7058823529411765,0.6666666666666666,0.5,3.0
52,61,0.1,7,653.000 - 795.000 - 992.000 - 1465.000 - 1882.000 - 2211.000 - 2260.000,2.0,7.0,0.625,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.5,2.0
52,62,0.1,7,408.000 - 414.000 - 794.000 - 1191.000 - 1876.000 - 2216.000 - 2358.000,7.0,7.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,7.0
52,63,0.1,7,1428.000 - 1608.000 - 1609.000 - 1868.000 - 1955.000 - 2220.000 - 2257.000,6.0,7.0,0.675,0.6842105263157895,0.65,0.6666666666666666,0.5,6.0
